Name,Team,GP,G,A,Pts,diff,PIM,Hits,BkS,PPG,PPA,SHG,SHA,GW,SOG,Pct
Chris Butler,CGY,44,1,7,8,-10,19,53,74,0,0,N/A,0,0,1,0
Rostislav Klesla,PHO,37,2,6,8,0,20,39,59,0,0,N/A,0,0,0,0
Luca Sbisa,ANA,41,1,7,8,0,23,99,57,0,0,N/A,0,3,0,0
Brendan Smith,DET,33,0,8,8,1,30,20,34,0,0,N/A,0,2,0,0
Tyler Myers,BUF,39,3,5,8,-8,32,58,56,0,0,N/A,1,2,0,0
Brenden Dillon,DAL,47,3,5,8,2,65,127,73,0,0,N/A,0,0,0,0
Josh Gorges,MON,47,2,6,8,3,15,66,114,0,0,N/A,0,0,0,0
Mike Kostka,TOR,34,0,8,8,-5,25,48,66,0,0,N/A,0,5,0,0
Tomas Kundratek,WAS,25,1,6,7,-5,8,21,23,0,0,N/A,0,3,0,0
Keith Aulie,TAM,44,2,5,7,2,60,90,41,0,0,N/A,0,0,0,0
Jonathon Blum,NAS,34,1,6,7,-1,6,32,41,0,0,N/A,0,0,0,0
Justin Braun,SAN,40,0,7,7,-5,6,50,50,0,0,N/A,0,1,0,0
Anton Stralman,NYR,47,4,3,7,13,16,74,40,0,1,.000,0,0,0,0
Marc-Edouard Vlasic,SAN,47,3,4,7,5,29,24,80,0,0,N/A,0,0,0,0
Victor Bartley,NAS,23,0,7,7,2,6,31,27,0,0,N/A,0,0,0,0
Mike Weber,BUF,42,1,6,7,3,70,122,92,0,0,N/A,0,0,0,1
Davis Drewiske,MON,29,2,5,7,3,14,21,35,1,0,1.000,1,0,0,0
Simon Despres,PIT,32,2,5,7,9,20,48,31,0,0,N/A,0,1,0,0
Erik Gustafsson,PHI,26,3,4,7,-1,2,15,39,0,1,.000,0,1,0,0
Jamie McBain,CAR,39,1,6,7,2,12,22,63,0,0,N/A,0,0,0,0
Chris Tanev,VAN,38,2,5,7,4,10,14,61,0,0,N/A,0,0,0,0
Matt Hunwick,COL,43,0,6,6,4,16,40,59,0,0,N/A,0,0,0,0
Jordie Benn,DAL,25,1,5,6,-3,10,23,30,0,0,N/A,1,0,0,0
Mark Fayne,NJD,31,1,5,6,6,16,25,40,0,0,N/A,0,0,1,0
Adam Larsson,NJD,36,0,6,6,6,12,37,49,0,0,N/A,0,0,0,0
John Erskine,WAS,29,3,3,6,11,34,84,60,0,0,N/A,0,0,0,0
Wade Redden,BOS,27,3,3,6,-1,11,16,28,0,0,N/A,0,0,0,0
Johnny Boychuk,BOS,42,1,5,6,4,12,74,82,0,0,N/A,0,0,0,0
Bruno Gervais,PHI,37,1,5,6,-17,10,25,41,0,0,N/A,0,0,0,0
Deryk Engelland,PIT,42,0,6,6,5,54,70,57,0,0,N/A,0,0,0,0
Greg Zanon,COL,43,0,6,6,-15,28,65,122,0,0,N/A,0,0,0,1
Eric Gryba,OTT,32,2,4,6,-2,26,87,37,0,0,N/A,0,0,0,0
Ryan O'Byrne,TOR,42,2,4,6,-4,60,104,69,0,0,N/A,0,0,0,0
Toni Lydman,ANA,34,0,6,6,-2,12,80,74,0,0,N/A,0,0,0,1
Roman Polak,STL,47,1,5,6,-4,48,107,75,0,0,N/A,0,0,0,0
Bobby Sanguinetti,CAR,36,2,4,6,-7,4,49,39,0,1,.000,0,1,0,0
Dalton Prout,COB,27,1,5,6,14,25,50,39,0,0,N/A,0,1,0,0
Brad Stuart,SAN,47,0,6,6,5,25,84,88,0,0,N/A,0,0,0,1
Bryan Allen,ANA,40,0,6,6,2,34,60,64,0,0,N/A,0,0,0,0
John Moore,NYR,29,1,5,6,2,7,38,28,0,0,N/A,0,0,0,0
Ryan Ellis,NAS,32,2,4,6,-2,15,22,29,0,0,N/A,2,0,0,0
Douglas Murray,PIT,42,1,5,6,-9,33,88,97,0,0,N/A,0,0,0,0
David Schlemko,PHO,29,1,4,5,5,12,34,57,0,0,N/A,0,0,0,0
Alec Martinez,LOS,27,1,4,5,-2,10,31,31,0,0,N/A,0,1,0,0
Kris Russell,STL,32,1,4,5,4,9,26,55,0,0,N/A,1,1,0,0
Karl Alzner,WAS,47,1,4,5,-5,14,42,83,0,0,N/A,0,0,0,0
Mark Pysyk,BUF,19,1,4,5,-7,0,6,9,0,0,N/A,1,0,0,0
Tim Erixon,COB,30,0,5,5,4,14,19,35,0,0,N/A,0,2,0,0
Aaron Rome,DAL,26,0,5,5,-1,18,41,32,0,0,N/A,0,0,0,0
Braydon Coburn,PHI,33,1,4,5,-10,41,76,61,0,0,N/A,0,0,0,0
Radko Gudas,TAM,22,2,3,5,3,38,87,28,0,0,N/A,0,0,0,0
Peter Harrold,NJD,22,2,3,5,-8,4,20,10,0,0,N/A,1,2,0,0
Kurtis Foster,PHI,23,1,4,5,0,25,16,16,0,0,N/A,1,0,0,0
Philip Larsen,DAL,31,2,3,5,-10,18,46,17,0,0,N/A,1,0,0,0
Anton Volchenkov,NJD,36,1,4,5,0,37,49,48,0,0,N/A,0,0,0,0
Brian Lashoff,DET,31,1,4,5,-10,15,44,43,0,0,N/A,0,0,0,0
Robert Bortuzzo,PIT,15,2,2,4,3,27,18,14,0,0,N/A,0,0,0,0
Zach Redmond,WPG,8,1,3,4,0,12,12,8,0,0,N/A,0,1,1,0
Jake Gardiner,TOR,12,0,4,4,0,0,13,15,0,0,N/A,0,2,0,0
Erik Gudbranson,FLA,32,0,4,4,-22,47,80,32,0,0,N/A,0,1,0,0
Stefan Elliott,COL,17,1,3,4,-4,2,10,18,0,0,N/A,0,1,0,0
Brian Strait,NYI,19,0,4,4,4,10,33,21,0,0,N/A,0,0,0,0
Adam Pardy,BUF,17,0,4,4,4,14,24,16,0,0,N/A,0,0,0,0
Ladislav Smid,EDM,47,1,3,4,-2,51,150,118,0,0,N/A,0,0,0,1
Adrian Aucoin,COB,35,0,4,4,-8,16,43,12,0,0,N/A,0,0,0,0
Shane O'Brien,COL,27,0,4,4,0,58,41,36,0,0,N/A,0,0,0,0
Thomas Hickey,NYI,39,1,3,4,9,8,27,47,0,0,N/A,0,0,0,0
Robyn Regehr,LOS,40,0,4,4,-5,23,97,69,0,0,N/A,0,0,0,0
Alexander Sulzer,BUF,17,3,1,4,3,10,5,19,0,0,N/A,0,0,0,0
Adam McQuaid,BOS,30,1,3,4,1,56,58,42,0,0,N/A,0,0,0,1
Nicklas Grossmann,PHI,30,1,3,4,-1,21,81,82,0,0,N/A,0,0,0,0
Mark Fistric,EDM,24,0,4,4,4,20,84,52,0,0,N/A,0,0,0,0
Erik Johnson,COL,30,0,4,4,-3,18,43,58,0,0,N/A,0,0,0,0
Mark Stuart,WPG,42,2,2,4,5,53,111,81,0,0,N/A,0,0,0,0
Corey Potter,EDM,32,3,1,4,7,6,50,34,0,0,N/A,0,1,0,0
Ian White,DET,25,2,2,4,5,4,14,32,1,0,1.000,0,0,0,0
Henrik Tallinder,NJD,24,1,3,4,2,10,13,15,0,0,N/A,0,1,0,0
Oliver Lauridsen,PHI,14,2,1,3,0,24,34,20,0,0,N/A,0,0,0,0
Tomas Kaberle,MON,10,0,3,3,4,0,2,11,0,0,N/A,0,0,0,0
Kyle Quincey,DET,35,1,2,3,6,18,27,44,0,0,N/A,0,1,0,0
Radek Martinek,NYI,13,3,0,3,-2,4,15,19,0,0,N/A,0,0,0,0
Ryan Wilson,COL,12,0,3,3,4,8,17,12,0,0,N/A,0,0,0,0
Korbinian Holzer,TOR,22,2,1,3,-12,28,61,54,0,0,N/A,0,0,0,0
Steve Eminger,NYR,34,0,3,3,7,8,52,40,0,0,N/A,0,0,0,0
Jeff Schultz,WAS,26,0,3,3,-6,12,17,25,0,0,N/A,0,0,0,0
Tyson Strachan,FLA,37,0,3,3,-13,40,109,59,0,0,N/A,0,0,0,0
Mark Cundari,CGY,4,1,2,3,-2,2,15,4,0,0,N/A,1,1,0,0
Keaton Ellerby,LOS,43,0,3,3,2,52,72,41,0,0,N/A,0,0,0,0
Justin Falk,MIN,35,0,3,3,-9,40,53,38,0,0,N/A,0,0,0,0
Jason Demers,SAN,22,1,2,3,-4,10,32,24,0,0,N/A,0,0,0,0
Tom Poti,WAS,16,0,2,2,-2,2,5,15,0,0,N/A,0,1,0,0
Nathan Beaulieu,MON,6,0,2,2,5,0,3,4,0,0,N/A,0,0,0,0
Cam Barker,VAN,13,0,2,2,1,4,13,14,0,0,N/A,0,0,0,0
Keith Ballard,VAN,35,0,2,2,0,27,45,32,0,0,N/A,0,0,0,0
Jamie Oleksiak,DAL,16,0,2,2,-5,14,32,18,0,0,N/A,0,0,0,0
Brett Bellemore,CAR,8,0,2,2,-2,7,14,13,0,0,N/A,0,0,0,0
Yannick Weber,MON,6,0,2,2,-1,2,3,4,0,0,N/A,0,1,0,0
Zbynek Michalek,PHO,33,0,2,2,4,12,38,85,0,0,N/A,0,0,0,0
Bryce Salvador,NJD,39,0,2,2,-12,22,36,79,0,0,N/A,0,0,0,0
Cory Sarich,CGY,28,0,2,2,-8,16,43,33,0,0,N/A,0,0,0,0
Andrej Meszaros,PHI,11,0,2,2,-9,2,18,24,0,0,N/A,0,1,0,0
Matt Bartkowski,BOS,11,0,2,2,0,6,11,3,0,0,N/A,0,0,0,0
Sami Vatanen,ANA,8,2,0,2,3,0,2,13,0,0,N/A,1,0,0,0
Matt Carkner,NYI,22,0,2,2,-2,46,27,19,0,0,N/A,0,0,0,0
Jarred Tinordi,MON,7,0,2,2,3,2,10,4,0,0,N/A,0,0,0,0
Matt Tennyson,SAN,4,0,2,2,2,2,4,2,0,0,N/A,0,0,0,0
Brandon Manning,PHI,5,0,2,2,4,0,11,3,0,0,N/A,0,0,0,0
Cody Goloubef,COB,11,1,0,1,-3,0,10,7,0,0,N/A,0,0,0,0
Ed Jovanovski,FLA,6,0,1,1,-4,0,3,8,0,0,N/A,0,0,0,0
Carlo Colaiacovo,DET,6,0,1,1,-4,2,12,10,0,0,N/A,0,1,0,0
Scott Hannan,SAN,32,0,1,1,-13,22,33,54,0,0,N/A,0,0,0,0
Danny DeKeyser,DET,10,0,1,1,3,2,7,9,0,0,N/A,0,0,0,0
Anton Babchuk,CGY,7,0,1,1,-1,0,1,9,0,0,N/A,0,0,0,0
Kent Huskins,PHI,19,0,1,1,-3,4,18,37,0,0,N/A,0,0,0,0
Mike Lundin,OTT,11,0,1,1,-2,0,2,7,0,0,N/A,0,0,0,0
Dmitry Orlov,WAS,5,0,1,1,5,0,2,4,0,0,N/A,0,0,0,0
Ian Cole,STL,15,0,1,1,-4,10,6,22,0,0,N/A,0,0,0,0
Joe Finley,NYI,16,0,1,1,-5,20,24,15,0,1,.000,0,0,0,0
Andrew Alberts,VAN,23,0,1,1,-7,32,39,29,0,0,N/A,0,0,0,0
David Rundblad,PHO,8,0,1,1,-5,0,7,9,0,0,N/A,0,0,0,0
Brendan Mikkelson,TAM,4,0,1,1,1,6,3,5,0,0,N/A,0,0,0,0
Brett Clark,MIN,8,0,1,1,-9,0,5,11,0,0,N/A,0,0,0,0
Brett Carson,CGY,10,0,1,1,-1,0,4,12,0,0,N/A,0,0,0,0
Derek Smith,CGY,22,0,1,1,-5,10,7,24,0,0,N/A,0,0,0,0
Torey Krug,BOS,1,0,1,1,-1,0,0,1,0,0,N/A,0,1,0,0
Colby Robak,FLA,16,0,1,1,-1,17,4,13,0,0,N/A,0,0,0,0
Matt Greene,LOS,5,0,1,1,-1,8,22,5,0,0,N/A,0,0,0,0
Roman Hamrlik,NYR,16,0,1,1,-4,8,8,14,0,0,N/A,0,0,0,0
Marco Scandella,MIN,6,1,0,1,-1,4,8,4,0,0,N/A,0,0,0,0
Derek Meech,WPG,16,0,1,1,0,2,24,12,0,0,N/A,0,0,0,0
Sheldon Brookbank,CHI,25,1,0,1,-2,19,28,33,0,1,.000,0,0,1,0
Mattias Ekholm,NAS,1,0,0,0,-1,0,0,0,0,0,N/A,0,0,0,0
Chad Ruhwedel,BUF,7,0,0,0,0,0,7,8,0,0,N/A,0,0,0,0
Mark Eaton,PIT,22,0,0,0,8,4,8,32,0,0,N/A,0,0,0,0
Cameron Schilling,WAS,1,0,0,0,-1,0,0,1,0,0,N/A,0,0,0,0
Frank Corrado,VAN,2,0,0,0,0,0,4,5,0,0,N/A,0,0,0,0
Ryan Murphy,CAR,4,0,0,0,-4,2,2,9,0,0,N/A,0,0,0,0
Hal Gill,NAS,31,0,0,0,-3,10,28,36,0,0,N/A,0,0,0,0
Andrej Sustr,TAM,2,0,0,0,1,0,0,1,0,0,N/A,0,0,0,0
Matthew Konan,PHI,1,0,0,0,0,0,2,1,0,0,N/A,0,0,0,0
Greg Pateryn,MON,3,0,0,0,0,0,2,1,0,0,N/A,0,0,0,0
Michal Jordan,CAR,5,0,0,0,-2,2,0,2,0,0,N/A,0,0,0,0
Derek Joslin,VAN,1,0,0,0,-1,0,2,2,0,0,N/A,0,0,0,0
Theo Peckham,EDM,4,0,0,0,-1,6,14,5,0,0,N/A,0,0,0,0
Matt Gilroy,NYR,15,0,0,0,-3,6,6,6,0,0,N/A,0,0,0,0
Jordan Hendry,ANA,2,0,0,0,0,0,1,2,0,0,N/A,0,0,0,0
Chris Summers,PHO,6,0,0,0,-3,9,12,10,0,0,N/A,0,0,0,0
Dylan Reese,PIT,3,0,0,0,0,0,0,4,0,0,N/A,0,0,0,0
Marc-Andre Gragnani,CAR,1,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0
Michael Caruso,FLA,2,0,0,0,-1,0,0,2,0,0,N/A,0,0,0,0
Nick Holden,COB,2,0,0,0,1,0,3,0,0,0,N/A,0,0,0,0
Stu Bickel,NYR,16,0,0,0,-2,49,13,6,0,0,N/A,0,0,0,0
Nick Petrecki,SAN,1,0,0,0,0,0,1,2,0,0,N/A,0,0,0,0
Jared Cowen,OTT,5,0,0,0,-1,10,16,6,0,0,N/A,0,0,0,0
Brian Lee,TAM,22,0,0,0,-13,16,49,28,0,0,N/A,0,0,0,0
Mike Komisarek,TOR,4,0,0,0,2,2,11,6,0,0,N/A,0,0,0,0
Alex Petrovic,FLA,5,0,0,0,-6,18,9,4,0,0,N/A,0,0,0,0
Nolan Yonkman,FLA,7,0,0,0,-1,11,12,2,0,0,N/A,0,0,0,0
Matt Taormina,TAM,2,0,0,0,-1,0,5,3,0,0,N/A,0,0,0,0
Andreas Lilja,PHI,3,0,0,0,-2,0,9,5,0,0,N/A,0,0,0,0
Aaron Johnson,BOS,10,0,0,0,0,10,18,5,0,0,N/A,0,0,0,0
David Savard,COB,4,0,0,0,-3,0,4,2,0,0,N/A,0,0,0,0
Alexander Urbom,NJD,1,0,0,0,-1,0,1,1,0,0,N/A,0,0,0,0
Nate Prosser,MIN,17,0,0,0,4,4,17,22,0,0,N/A,0,0,0,0
Eric Gelinas,NJD,1,0,0,0,-1,0,1,0,0,0,N/A,0,0,0,0
Mark Barberio,TAM,2,0,0,0,-2,0,0,1,0,0,N/A,0,0,0,0
Mark Borowiecki,OTT,6,0,0,0,1,18,26,5,0,0,N/A,0,0,0,0
