Name,Team,GP,G,A,Pts,diff,PIM,Hits,BkS,PPG,PPA,SHG,SHA,GW,SOG,Pct
Toby Petersen,DAL,39,2,3,5,-7,6,34,14,0,1,0,0,0,44,.045
Joakim Lindstrom,COL,16,2,3,5,-9,0,1,6,1,0,0,0,0,22,.091
Andrew Gordon,VAN,37,2,3,5,-10,6,49,17,0,0,0,0,0,38,.053
Darryl Boyce,COB,37,1,4,5,-8,35,46,14,0,0,0,0,1,25,.040
Paul Byron,CGY,22,3,2,5,3,2,26,2,0,0,0,0,1,13,.231
Krys Barch,NJD,51,2,3,5,0,114,67,10,0,0,0,0,0,24,.083
Jerome Samson,CAR,16,2,3,5,-3,8,10,5,1,1,0,0,0,31,.065
Zenon Konopka,MIN,55,3,2,5,-4,193,54,18,1,0,0,0,1,34,.088
Dana Tyrell,TAM,26,0,5,5,-5,6,20,15,0,0,0,0,0,23,.000
Michal Repik,FLA,17,2,3,5,-3,6,24,1,1,2,0,0,0,35,.057
Stephane Da Costa,OTT,22,3,2,5,-9,8,14,13,0,0,0,0,0,31,.097
Joe Colborne,TOR,10,1,4,5,2,4,20,8,0,0,0,0,0,7,.143
Jay Beagle,WAS,41,4,1,5,-2,23,66,23,0,0,0,0,0,49,.082
Blake Geoffrion,MON,35,2,3,5,0,27,40,13,0,0,0,0,0,29,.069
Teemu Hartikainen,EDM,17,2,3,5,1,6,36,11,0,0,0,0,1,24,.083
George Parros,FLA,46,1,3,4,1,85,57,16,0,0,0,0,0,17,.059
Evgeny Grachev,STL,26,1,3,4,-4,2,23,10,0,0,0,0,1,14,.071
Patrick O'Sullivan,PHO,23,2,2,4,-4,2,7,4,0,1,0,0,0,34,.059
Brandon McMillan,ANA,25,0,4,4,-10,20,21,13,0,0,0,0,0,26,.000
Jordan Nolan,LOS,26,2,2,4,2,28,59,4,0,0,0,0,1,19,.105
Mike Brown,TOR,50,2,2,4,-8,74,120,24,0,0,0,1,0,56,.036
Mike Blunden,MON,39,2,2,4,-1,27,104,15,0,0,0,0,0,34,.059
Ryan Reaves,STL,60,3,1,4,0,124,171,7,0,0,0,0,1,32,.094
Ethan Moreau,LOS,28,1,3,4,-3,20,53,6,0,0,0,0,1,29,.034
Peter Regin,OTT,10,2,2,4,3,2,6,3,0,0,0,0,0,15,.133
Byron Bitz,VAN,10,1,3,4,2,14,20,7,0,0,0,0,0,6,.167
Casey Cizikas,NYI,15,0,4,4,1,6,26,9,0,0,0,0,0,12,.000
Paul Szczechura,BUF,9,1,3,4,0,4,7,3,0,0,0,0,0,11,.091
Andrew Murray,STL,39,1,3,4,3,4,66,8,0,0,0,0,0,33,.030
Cody McCormick,BUF,50,1,3,4,-7,56,67,11,0,0,0,0,0,43,.023
Maxime Macenauer,WPG,29,1,3,4,-4,18,17,4,0,0,0,0,1,14,.071
Marc-Antoine Pouliot,PHO,13,0,4,4,-2,2,10,1,0,0,0,0,0,19,.000
Jay Pandolfo,BOS,62,1,2,3,-14,8,48,69,0,0,0,1,0,44,.023
Darcy Hordichuk,EDM,43,1,2,3,-3,64,67,2,0,0,0,0,0,27,.037
Zac Dalpe,CAR,16,1,2,3,-3,4,16,4,0,0,0,0,0,20,.050
Brett Bulmer,MIN,9,0,3,3,1,6,17,2,0,0,0,0,0,7,.000
Jaden Schwartz,STL,7,2,1,3,1,0,1,5,1,0,0,0,1,6,.333
Lance Bouma,CGY,27,1,2,3,-5,11,45,26,0,0,0,0,0,26,.038
Ryan Garbutt,DAL,20,2,1,3,-1,22,48,3,0,0,0,0,1,28,.071
