name,g,ab,r,hr,rbi,sb,avg,obp,r_score,r_trend,hr_score,hr_trend,rbi_score,rbi_trend,sb_score,sb_trend,avg_score,avg_trend,obp_score,obp_trend,total_score,total_trend
Jose Molina,214,589,44.664,12.869,44.664,4.542,0.246,0.307,-1.702,0.000,-0.509,0.000,-1.264,0.000,-0.573,0.000,-0.828,0.000,-0.930,0.000,-5.807,0.000
Chone Figgins,308,1056,54.701,2.104,32.084,29.981,0.227,0.302,-1.145,-0.646,-1.653,0.122,-1.842,-0.065,1.553,-1.662,-1.624,-2.447,-1.125,-2.764,-5.837,-7.462
Adam Kennedy,335,890,48.842,5.803,41.104,11.122,0.245,0.310,-1.470,0.049,-1.260,0.639,-1.428,0.851,-0.023,-0.490,-0.880,-0.412,-0.833,-1.342,-5.894,-0.703
Stephen Lombardozzi,139,415,50.115,3.496,32.633,5.827,0.267,0.310,-1.399,0.000,-1.505,0.000,-1.817,0.000,-0.466,0.000,0.067,0.000,-0.838,0.000,-5.959,0.000
Blake DeWitt,274,699,40.796,5.912,46.708,2.365,0.258,0.318,-1.916,0.000,-1.248,0.000,-1.170,0.000,-0.755,0.000,-0.352,0.000,-0.551,0.000,-5.993,0.000
Ronny Cedeno,345,1047,48.365,6.574,43.200,6.574,0.254,0.301,-1.496,0.346,-1.178,-0.628,-1.332,-0.021,-0.403,-0.970,-0.497,-0.162,-1.160,0.284,-6.066,-1.151
Tyler Greene,218,513,52.018,10.404,37.899,18.578,0.224,0.296,-1.294,0.000,-0.771,0.000,-1.575,0.000,0.600,0.000,-1.754,0.000,-1.329,0.000,-6.124,0.000
Omar Vizquel,226,664,48.027,1.434,32.257,10.752,0.261,0.311,-1.515,0.000,-1.725,0.000,-1.835,0.000,-0.054,0.000,-0.224,0.000,-0.809,0.000,-6.162,0.000
Greg Dobbs,342,893,36.474,8.526,48.789,2.368,0.264,0.301,-2.155,-0.651,-0.971,-0.378,-1.075,-0.289,-0.755,0.427,-0.067,0.315,-1.158,0.086,-6.181,-0.490
Joaquin Arias,184,447,46.663,4.402,41.380,5.283,0.266,0.297,-1.591,0.000,-1.409,0.000,-1.415,0.000,-0.511,0.000,0.015,0.000,-1.277,0.000,-6.188,0.000
Clint Barmes,400,1288,50.220,11.340,54.270,2.430,0.236,0.296,-1.394,-0.370,-0.672,-0.074,-0.823,-0.167,-0.750,-0.178,-1.256,0.009,-1.322,-0.379,-6.216,-1.158
Josh Thole,291,863,35.072,3.897,43.423,0.557,0.257,0.330,-2.233,0.206,-1.463,-0.338,-1.321,-1.005,-0.906,-0.002,-0.363,-1.076,-0.151,-1.466,-6.437,-3.681
Jason Castro,154,452,57.857,8.416,38.922,0.000,0.235,0.314,-0.970,0.000,-0.982,0.000,-1.528,0.000,-0.953,0.000,-1.319,0.000,-0.706,0.000,-6.459,0.000
Jayson Nix,222,644,51.811,16.054,49.622,8.027,0.217,0.280,-1.305,0.000,-0.171,0.000,-1.037,0.000,-0.282,0.000,-2.040,0.000,-1.896,0.000,-6.730,0.000
Elliot Johnson,193,457,43.648,8.394,41.969,20.145,0.225,0.287,-1.758,0.000,-0.985,0.000,-1.388,0.000,0.731,0.000,-1.703,0.000,-1.629,0.000,-6.732,0.000
Mark Kotsay,293,703,31.515,7.188,42.020,2.212,0.253,0.316,-2.430,0.000,-1.113,0.000,-1.386,0.000,-0.768,0.000,-0.533,0.000,-0.640,0.000,-6.870,0.000
Brandon Crawford,209,631,51.158,5.426,51.158,1.550,0.235,0.299,-1.342,0.000,-1.300,0.000,-0.966,0.000,-0.823,0.000,-1.318,0.000,-1.233,0.000,-6.982,0.000
Ramon Santiago,306,806,45.529,5.294,36.529,1.588,0.246,0.314,-1.654,-0.352,-1.314,0.382,-1.638,0.839,-0.820,-0.292,-0.850,-0.020,-0.709,-0.623,-6.986,-0.066
Brendan Ryan,403,1282,57.484,3.216,42.610,14.069,0.222,0.290,-0.991,-0.258,-1.535,0.025,-1.359,-0.062,0.223,-0.038,-1.833,-0.325,-1.538,0.080,-7.032,-0.578
Wilson Valdez,287,800,51.366,2.822,45.157,7.338,0.243,0.285,-1.330,0.568,-1.577,-0.378,-1.242,0.042,-0.339,-0.482,-0.983,-0.240,-1.707,-0.211,-7.179,-0.701
Tony Gwynn,356,860,43.685,2.275,26.848,23.663,0.231,0.297,-1.756,0.090,-1.635,-0.222,-2.083,0.067,1.025,-0.153,-1.450,0.622,-1.281,-0.311,-7.180,0.093
Daniel Descalso,302,734,43.987,2.682,31.113,4.828,0.245,0.318,-1.739,0.320,-1.592,0.244,-1.887,-0.045,-0.549,0.364,-0.868,-1.144,-0.559,-0.878,-7.194,-1.138
