name,g,ab,r,hr,rbi,sb,avg,obp,r_score,hr_score,rbi_score,sb_score,avg_score,obp_score,total_score
Edwin Encarnacion,96,332,79.3125,35.4375,86.0625,1.6875,0.243975903614,0.305177111717,0.0967409768496,1.71537349262,0.501343919634,-0.753612128519,-0.908383039263,-0.991022484502,-0.339559263182
Billy Butler,158,595,78.9493670886,15.3797468354,79.9746835443,0.0,0.317647058824,0.38790560472,0.0786893676512,-0.216086178054,0.236513432382,-0.887462773994,1.77247709325,1.48560034307,2.46973128431
Chase Utley,115,425,105.652173913,22.5391304348,91.5652173913,18.3130434783,0.275294117647,0.38747553816,1.40610590901,0.473326069447,0.740721591177,0.565107709071,0.231272653435,1.4727255448,4.88925947695
Ryan Howard,143,550,98.5594405594,35.1188811189,122.34965035,1.13286713287,0.276363636364,0.353225806452,1.0535208179,1.68469211399,2.07989737604,-0.797604998011,0.270191957471,0.447399634599,4.73809690199
Hunter Pence,156,614,96.5769230769,25.9615384615,94.5,18.6923076923,0.281758957655,0.325227963526,0.954968387925,0.802886565382,0.868389682667,0.595190529726,0.466525267439,-0.390764997628,3.29719543551
Nick Swisher,150,566,98.28,31.32,96.12,1.08,0.287985865724,0.35917721519,1.03962961825,1.318879173,0.938862469169,-0.80179836089,0.693119645462,0.625565514362,3.81425805936
Lance Berkman,122,404,63.737704918,18.5901639344,77.0163934426,3.98360655738,0.247524752475,0.367983367983,-0.677493760197,0.0930606691452,0.107822724513,-0.571487479758,-0.779242028779,0.889193174431,-0.938146700645
Michael Bourn,141,535,96.5106382979,2.29787234043,43.6595744681,59.7446808511,0.265420560748,0.340567612688,0.951673321877,-1.47580419316,-1.34325627672,3.85141965303,-0.12802163186,0.0684543583925,1.92446523156
Torii Hunter,152,573,81.0,24.5131578947,95.9210526316,9.59210526316,0.280977312391,0.354489164087,0.180627866654,0.663414879316,0.930207916441,-0.126627526032,0.438081548598,0.485220465667,2.57092515064
Brandon Phillips,155,626,104.516129032,18.8129032258,61.664516129,16.7225806452,0.274760383387,0.331864904552,1.34963226651,0.11450933066,-0.560010344827,0.438953945033,0.211850304264,-0.192076504048,1.36285899759
Jayson Werth,156,554,110.076923077,28.0384615385,88.2692307692,13.5,0.296028880866,0.388036809816,1.62606350636,1.00288370012,0.597340503812,0.183342389804,0.985801341281,1.48952819821,5.88495963958
Mike Napoli,140,453,69.4285714286,30.0857142857,78.6857142857,4.62857142857,0.238410596026,0.31568627451,-0.394596520576,1.20002373293,0.180441052525,-0.520329574977,-1.11090207396,-0.676412227172,-1.32177561123
Mike Morse,98,266,59.5102040816,24.7959183673,67.7755102041,0.0,0.289473684211,0.351535836177,-0.887645995344,0.690643275479,-0.294171591266,-0.887462773994,0.747260689573,0.396807404438,-0.234568991113
Jay Bruce,148,509,87.5675675676,27.3648648649,76.6216216216,5.47297297297,0.28094302554,0.352530541012,0.507106572919,0.938019764529,0.0906494712671,-0.453352572454,0.436833865557,0.42658564179,1.94584274361
Derek Jeter,157,663,114.535031847,10.3184713376,69.1337579618,18.5732484076,0.269984917044,0.340108401084,1.84767943474,-0.703461280643,-0.235085477534,0.58574687811,0.0380732364776,0.0547070520005,1.58765984315
Melky Cabrera,147,458,55.1020408163,4.40816326531,46.2857142857,7.71428571429,0.255458515284,0.31746031746,-1.10677909524,-1.27259390428,-1.22901467752,-0.275574108966,-0.490535976131,-0.623303133692,-4.99780089583
Brett Gardner,150,477,104.76,5.4,50.76,50.76,0.276729559748,0.382978723404,1.3617552751,-1.17708506851,-1.0343755529,3.13876464189,0.283507744512,1.33810549224,3.91067253233
Ben Zobrist,151,541,82.6092715232,10.7284768212,80.4635761589,25.7483443709,0.238447319778,0.345679012346,0.260625960242,-0.663979836742,0.257781102045,1.15486760464,-1.10956571319,0.221473090077,0.121202207078
Angel Pagan,151,579,85.8278145695,11.8013245033,74.0264900662,39.6953642384,0.290155440415,0.33971291866,0.420622147419,-0.560670058534,-0.0222432151829,2.26112989307,0.772069490551,0.0428675906137,2.91377584793
Shane Victorino,147,587,92.5714285714,19.8367346939,76.0408163265,37.4693877551,0.258943781942,0.327160493827,0.755852253884,0.213099096618,0.0653834419089,2.08456788471,-0.36370869334,-0.332911306772,2.42228267701
Andre Ethier,139,517,82.7482014388,26.8057553957,95.5683453237,2.3309352518,0.292069632495,0.364102564103,0.26753227048,0.884180364754,0.914864541871,-0.702575551467,0.841726077589,0.773014490018,2.97874219324
Rickie Weeks,160,651,113.4,29.3625,84.0375,11.1375,0.268817204301,0.366047745358,1.7912561509,1.13038187351,0.413252936506,-0.00404851386046,-0.0044193039089,0.831246909422,4.15767005257
Adam Jones,149,581,82.6308724832,20.6577181208,75.0201342282,7.61073825503,0.283993115318,0.324717285945,0.261699760156,0.292155627347,0.0209820149933,-0.283787379638,0.547825257827,-0.406053028488,0.432822252197
